,env_id,episodes,is_success,collision,timeout,out_of_bounds,step,success_rate,out_of_bounds_rate,timeout_rate,collision_rate,cumulated_rewards,sim_time,cpu_time_steps,cpu_time_full,action_cpu_time_ur5_1,position_ee_link_ur5_1,velocity_ee_link_ur5_1,rotation_ee_link_ur5_1,position_rotation_sensor_cpu_time_ur5_1,joints_angles_ur5_1,joints_velocities_ur5_1,joints_sensor_cpu_time_ur5_1,reward_ur5_1,distance_ur5_1,distance_threshold_ur5_1
0,0,1,False,False,False,False,1,0.0,0.0,0.0,0.0,0.0,0.00416666666,0.0,1.359375,0.0,[-0.85220003  0.06046264  0.53682512],[-0.37390709  0.4731068   0.45305729],[ 0.64486223 -0.48576367 -0.28937507  0.51424545],0.0,[-3.14159265 -2.5494918  -0.22764251 -0.72951743  1.96595995],"[ 8.67361738e-19 -3.65276332e+00  9.55097378e+00 -8.49504254e+00
 -3.95194817e+00]",0.0,-0.019723905209278775,0.9861952604639388,0.13
1,0,1,False,False,False,False,2,0.0,0.0,0.0,0.0,0.0,0.00833333332,0.015625,1375,0.0,[-0.85431039  0.06358144  0.53781563],[-0.50648689  0.74851155  0.2377224 ],[ 0.64228958 -0.49444076 -0.29504693  0.50590497],0.0,[-3.14159265 -2.56683906 -0.1863435  -0.76167925  1.94013022],[ 0.         -4.16334282  9.91176309 -7.71883618 -6.19913515],0.0,-0.01971957315831362,0.985978657915681,0.13
2,0,1,False,False,False,False,3,0.0,0.0,0.0,0.0,0.0,0.01249999998,0.03125,1.390625,0.0,[-0.85698044  0.06681281  0.53649813],[-0.64081192  0.77552855 -0.31620026],[ 0.64063042 -0.50490248 -0.29862925  0.4954662 ],0.0,[-3.14159265 -2.58558731 -0.14531726 -0.79927134  1.913644  ],"[-8.67361738e-19 -4.49957859e+00  9.84629716e+00 -9.02210143e+00
 -6.35669330e+00]",0.0,-0.019707737147656206,0.9853868573828103,0.13
3,0,1,False,False,False,False,4,0.0,0.0,0.0,0.0,0.0,0.01666666664,0.046875,1.40625,0.0,[-0.86038184  0.06962021  0.53165406],[-0.81633568  0.67377627 -1.16257668],[ 0.64080566 -0.51635611 -0.29823759  0.48352754],0.0,[-3.14159265 -2.60229687 -0.11438273 -0.83749723  1.89084911],"[ 1.17524360e-06 -4.01029448e+00  7.42428780e+00 -9.17421409e+00
 -5.47077538e+00]",0.0,-0.0197026891725427,0.985134458627135,0.13
4,0,1,False,False,False,False,5,0.0,0.0,0.0,0.0,0.0,0.0208333333,0.0625,1.421875,0.0,[-0.86391133  0.07500187  0.52670902],[-0.84707737  1.29159987 -1.18680954],[ 0.63818413 -0.52831519 -0.30324093  0.47079623],0.0,[-3.1433571  -2.62181562 -0.08042986 -0.8686411   1.85979296],[-0.42346882 -4.68449973  8.14868808 -7.4745286  -7.4534748 ],0.0,-0.01971455410386314,0.9857277051931569,0.13
5,0,1,False,False,False,False,6,0.0,0.0,0.0,0.0,0.0,0.024999999959999998,0.078125,1.4375,0.0,[-0.86438936  0.07193048  0.52523774],[-0.11472702 -0.73713362 -0.35310745],[ 0.64271975 -0.52472913 -0.29358971  0.47473752],0.0,[-3.14300421 -2.64260019 -0.03977459 -0.89606835  1.8820811 ],[ 0.08469353 -4.98829645  9.75726524 -6.58254049  5.3491531 ],0.0,-0.019694564727785028,0.9847282363892513,0.13
6,0,1,False,False,False,False,7,0.0,0.0,0.0,0.0,0.0,0.029166666619999997,0.09375,1.453125,0.0,[-0.86696494  0.07281312  0.52039129],[-0.61813831  0.21183372 -1.16314888],[ 0.64317322 -0.5295257  -0.29267159  0.46933356],0.0,[-3.1427219  -2.66095653 -0.01030823 -0.91884006  1.87304607],[ 0.06775482 -4.40552358  7.07192579 -5.46520932 -2.16840628],0.0,-0.019743181014796652,0.9871590507398326,0.13
7,0,1,False,False,False,False,8,0.0,0.0,0.0,0.0,0.0,0.033333333279999995,0.109375,1.46875,0.0,[-0.87010252  0.07563432  0.51367664],[-0.75302124  0.6770879  -1.61151409],[ 0.64285958 -0.54006815 -0.29341161  0.45712969],0.0,[-3.14249605 -2.68460866  0.03026196 -0.95741879  1.84888786],[ 0.05420386 -5.67650939  9.73684632 -9.25889652 -5.79797198],0.0,-0.0197704981795646,0.98852490897823,0.13
8,0,1,False,False,False,False,9,0.0,0.0,0.0,0.0,0.0,0.037499999939999994,125,1.484375,0.0,[-0.87281525  0.07566608  0.50541812],[-0.65105438  0.00762284 -1.98204518],[ 0.64635116 -0.5460946  -0.28565997  0.44989917],0.0,[-3.14231537 -2.70972926  0.07058533 -0.99795579  1.84742647],[ 0.04336309 -6.02894568  9.67760849 -9.72888058 -0.35073155],0.0,-0.019781537644512844,0.9890768822256423,0.13
9,0,1,False,False,False,False,10,0.0,0.0,0.0,0.0,0.0,0.04166666659999999,0.140625,1.5,0.0,[-0.87673891  0.07917016  0.49512553],[-0.9416771   0.84097803 -2.47022152],[ 0.64590317 -0.55806714 -0.28670454  0.43493754],0.0,[-3.14217082 -2.73518632  0.1074845  -1.03487901  1.81858   ],[ 0.0346916  -6.10969236  8.85579944 -8.86157238 -6.92315381],0.0,-0.01982550773740674,0.9912753868703369,0.13
10,0,1,False,False,False,False,11,0.0,0.0,0.0,0.0,0.0,0.04583333325999999,0.15625,1.515625,0.0,[-0.87991869  0.08418853  0.48540884],[-0.76314926  1.20440841 -2.3320055 ],[ 0.64379871 -0.5720709  -0.29143354  0.4163228 ],0.0,[-3.1420552  -2.7599229   0.14552921 -1.07379434  1.77820363],[ 0.0277508  -5.93678072  9.13073063 -9.33967895 -9.69032888],0.0,-0.019844424663987628,0.9922212331993814,0.13
11,0,1,False,False,False,False,12,0.0,0.0,0.0,0.0,0.0,0.04999999991999999,0.171875,1.53125,0.0,[-0.88172281  0.08831054  0.47769514],[-0.43298721  0.98928273 -1.85128928],[ 0.64168006 -0.58250898 -0.29610333  0.40156299],0.0,[-3.14196269 -2.78425875  0.18529656 -1.10752622  1.74529733],[ 0.02220116 -5.84060301  9.54416513 -8.09565204 -7.89751078],0.0,-0.019834342786059306,0.9917171393029652,0.13
12,0,1,False,False,False,False,13,0.0,0.0,0.0,0.0,0.0,0.05416666657999999,0.203125,1.5625,0.0,[-0.88229758  0.09015028  0.47069249],[-0.13794422  0.4415381  -1.68063641],[ 0.64239794 -0.58931661 -0.29455775  0.39149272],0.0,[-3.1418887  -2.80767924  0.22559223 -1.14399552  1.73044493],[ 0.01775872 -5.62091738  9.6709609  -8.75263099 -3.56457799],0.0,-0.01981552736539769,0.9907763682698845,0.13
13,0,1,False,False,False,False,14,0.0,0.0,0.0,0.0,0.0,0.058333333239999986,0.203125,1.5625,0.0,[-0.88381726  0.09536374  0.46096599],[-0.36472321  1.25123084 -2.3343587 ],[ 0.64015335 -0.60198855 -0.29942441  0.3716968 ],0.0,[-3.14182949 -2.83122107  0.26191728 -1.18242296  1.68956264],[ 0.01421027 -5.65003966  8.71801257 -9.22258604 -9.81174989],0.0,-0.019808559337330948,0.9904279668665474,0.13
14,0,1,False,False,False,False,15,0.0,0.0,0.0,0.0,0.0,0.062499999899999985,0.21875,1.578125,0.0,[-0.8847791   0.09899762  0.45212084],[-0.23084164  0.8721292  -2.12283612],[ 0.63804996 -0.60978276 -0.30390313  0.35874805],0.0,[-3.14178212 -2.8580384   0.30260423 -1.2106562   1.66114476],[ 0.01136695 -6.43616054  9.76486683 -6.77597777 -6.82028989],0.0,-0.01977704239172244,0.988852119586122,0.13
15,0,1,False,False,False,False,16,0.0,0.0,0.0,0.0,0.0,0.06666666655999999,0.234375,1.59375,0.0,[-0.88568234  0.09792908  0.44085774],[-0.21677971 -0.25644779 -2.70314455],[ 0.6426394  -0.61239272 -0.29405892  0.35428676],0.0,[-3.14174423 -2.88589817  0.34184499 -1.24471109  1.66915406],"[ 9.09456816e-03 -6.68634281e+00  9.41778316e+00 -8.17317402e+00
  1.92223247e+00]",0.0,-0.01975841646717792,0.987920823358896,0.13
16,0,1,False,False,False,False,17,0.0,0.0,0.0,0.0,0.0,0.07083333321999999,0.25,1.609375,0.0,[-0.88598716  0.10198528  0.43294373],[-0.07315636  0.97348631 -1.89936161],[ 0.63857114 -0.61859465 -0.30282238  0.3433165 ],0.0,[-3.14171392 -2.91347023  0.38281845 -1.26225589  1.63764134],"[ 7.27481528e-03 -6.61729596e+00  9.83363032e+00 -4.21075147e+00
 -7.56305270e+00]",0.0,-0.019805758089388784,0.9902879044694393,0.13
17,0,1,False,False,False,False,18,0.0,0.0,0.0,0.0,0.0,0.07499999987999999,0.265625,1625,0.0,[-0.88522118  0.1032429   0.42357886],[ 0.18383503  0.30182898 -2.24756956],[ 0.6399886  -0.62352169 -0.29981139  0.33428794],0.0,[-3.14168967 -2.93992712  0.42424792 -1.29647625  1.62777312],"[ 5.82008350e-03 -6.34965328e+00  9.94307280e+00 -8.21288581e+00
 -2.36837360e+00]",0.0,-0.01977366662449188,0.988683331224594,0.13
18,0,1,False,False,False,False,19,0.0,0.0,0.0,0.0,0.0,0.07916666653999999,0.28125,1.640625,0.0,[-0.88488674  0.10836813  0.41268757],[ 0.080266    1.23005569 -2.61390925],[ 0.63695139 -0.63310963 -0.30622518  0.3157393 ],0.0,[-3.14167027 -2.96742906  0.46391843 -1.32811913  1.58818194],"[ 4.65643376e-03 -6.60046514e+00  9.52092290e+00 -7.59429204e+00
 -9.50188404e+00]",0.0,-0.019765859606445287,0.9882929803222643,0.13
19,0,1,False,False,False,False,20,0.0,0.0,0.0,0.0,0.0,0.08333333319999998,0.296875,1.65625,0.0,[-0.88452029  0.11133362  0.40115681],[ 0.08794785  0.7117188  -2.76738167],[-0.63586283  0.63909644  0.308485   -0.30343238],0.0,[-3.14165474 -2.99682484  0.50403508 -1.35463601  1.56525926],"[ 3.72538802e-03 -7.05498777e+00  9.62799519e+00 -6.36405047e+00
 -5.50144127e+00]",0.0,-0.019720762445263176,0.9860381222631588,0.13
